timestamp,sourceIP,destinationIP,source port,destination port,Protocol,traffic type
2026-07-07T14:50:54.338Z,10.89.53.52,104.16.132.229,53428,443,TCP,https
2026-07-07T14:50:54.933Z,10.85.234.39,104.16.132.229,51749,443,TCP,https
2026-07-07T14:50:55.248Z,192.168.243.216,1.0.0.1,64800,23,TCP,ssh
2026-07-07T14:50:55.555Z,192.168.63.230,151.101.1.140,51854,443,TCP,https
2026-07-07T14:50:55.897Z,10.249.97.87,216.239.35.0,57647,122,UDP,ntp
2026-07-07T14:50:56.236Z,10.90.106.129,10.98.208.200,0,0,ICMP,icmp
2026-07-07T14:50:56.568Z,10.18.67.1,151.101.1.140,63844,444,TCP,https
2026-07-07T14:50:56.871Z,10.219.114.214,151.101.1.140,63562,81,TCP,http
2026-07-07T14:50:57.213Z,192.168.81.37,31.13.71.36,62960,22,TCP,ssh
2026-07-07T14:50:57.512Z,172.20.118.44,104.16.132.229,64958,80,TCP,http
2026-07-07T14:50:57.827Z,10.10.17.194,104.16.132.229,56590,79,TCP,http
2026-07-07T14:50:58.149Z,192.168.243.227,74.125.200.100,51486,21,TCP,ssh
2026-07-07T14:50:58.479Z,192.168.129.187,151.101.1.140,63473,80,TCP,http
2026-07-07T14:50:58.808Z,192.168.194.119,151.101.1.140,55486,443,TCP,https
2026-07-07T14:50:59.132Z,192.168.68.5,93.184.216.34,61670,80,TCP,http
2026-07-07T14:50:59.457Z,172.30.152.210,104.16.132.229,52257,79,TCP,http
2026-07-07T14:50:59.793Z,172.27.16.106,151.101.1.140,64011,81,TCP,http
2026-07-07T14:51:00.126Z,192.168.185.221,104.16.132.229,64401,444,TCP,https
2026-07-07T14:51:00.431Z,192.168.178.192,93.184.216.34,53954,442,TCP,https
2026-07-07T14:51:00.759Z,10.143.123.53,8.8.4.4,54377,53,UDP,dns_udp
2026-07-07T14:51:01.085Z,172.27.215.100,104.16.132.229,51852,81,TCP,http
2026-07-07T14:51:01.389Z,192.168.22.28,172.21.59.179,60351,22,TCP,ssh
2026-07-07T14:51:01.707Z,192.168.118.223,8.8.4.4,64814,53,UDP,dns_udp
2026-07-07T14:51:02.053Z,10.97.30.233,10.98.111.64,61186,3307,TCP,mysql
2026-07-07T14:51:02.359Z,192.168.175.49,13.107.42.14,57480,23,TCP,ssh
2026-07-07T14:51:02.701Z,192.168.210.221,10.253.158.94,58635,445,TCP,smb
2026-07-07T14:51:03.041Z,10.107.59.81,10.24.37.51,56398,3390,TCP,rdp
2026-07-07T14:51:03.372Z,10.175.81.176,104.16.132.229,56317,444,TCP,https
2026-07-07T14:51:03.699Z,172.30.11.40,9.9.9.9,51628,53,UDP,dns_udp
2026-07-07T14:51:04.040Z,10.195.201.81,10.24.107.159,65288,388,TCP,ldap
2026-07-07T14:51:04.355Z,10.105.60.5,151.101.1.140,52507,81,TCP,http
2026-07-07T14:51:04.675Z,172.25.109.85,10.155.138.83,50414,446,TCP,smb
2026-07-07T14:51:05.006Z,10.41.234.203,10.126.247.27,64735,390,TCP,ldap
2026-07-07T14:51:05.337Z,192.168.33.162,93.184.216.34,55617,80,TCP,http
2026-07-07T14:51:05.657Z,172.24.190.108,10.140.99.120,65521,89,UDP,kerberos
2026-07-07T14:51:05.993Z,172.22.113.188,1.0.0.1,0,0,ICMP,icmp
2026-07-07T14:51:06.330Z,192.168.46.133,104.16.132.229,60930,81,TCP,http
2026-07-07T14:51:06.668Z,192.168.242.237,162.159.200.1,53063,123,UDP,ntp
2026-07-07T14:51:07.001Z,10.206.175.233,192.168.11.213,49669,89,UDP,kerberos
2026-07-07T14:51:07.333Z,172.25.94.101,9.9.9.9,59047,53,UDP,dns_udp
