timestamp,sourceIP,destinationIP,source port,destination port,Protocol,traffic type,action,note,ml_probability
2026-07-07T15:09:23.044Z,192.168.112.142,97.196.117.167,59172,3388,TCP,rdp,allowed,Blocked by ML: possible firewall bypass attack,0.9741
2026-07-07T15:09:28.904Z,172.26.204.33,155.142.5.84,55273,3388,TCP,rdp,allowed,Blocked by ML: possible firewall bypass attack,0.9741
2026-07-07T15:09:29.075Z,172.19.204.124,195.84.139.156,50020,3306,TCP,mysql,allowed,Blocked by ML: possible firewall bypass attack,0.9759
2026-07-07T15:09:35.405Z,172.24.78.89,144.74.170.81,50099,3307,TCP,mysql,allowed,Blocked by ML: possible firewall bypass attack,0.9834
2026-07-07T15:09:36.161Z,192.168.239.186,110.197.202.88,61854,5432,TCP,postgresql,allowed,Blocked by ML: possible firewall bypass attack,0.9909
2026-07-07T15:09:42.999Z,10.133.192.115,108.255.226.38,49881,635,TCP,ldaps,allowed,Blocked by ML: possible firewall bypass attack,0.9738
2026-07-07T15:09:45.242Z,10.180.212.188,153.47.90.212,61667,445,TCP,smb,allowed,Blocked by ML: possible firewall bypass attack,0.9706
2026-07-07T15:09:49.409Z,172.28.214.222,232.13.44.128,54131,88,UDP,kerberos,allowed,Blocked by ML: possible firewall bypass attack,0.9800
2026-07-07T15:09:51.823Z,10.51.20.23,195.95.126.174,54100,88,UDP,kerberos,allowed,Blocked by ML: possible firewall bypass attack,0.9800
2026-07-07T15:09:54.591Z,172.21.58.199,170.146.107.172,54114,446,TCP,smb,allowed,Blocked by ML: possible firewall bypass attack,0.9719
2026-07-07T15:10:19.911Z,172.17.167.135,146.212.57.105,56198,3389,TCP,rdp,allowed,Blocked by ML: possible firewall bypass attack,0.9841
2026-07-07T15:10:56.412Z,172.17.73.199,187.90.173.118,64321,446,TCP,smb,allowed,Blocked by ML: possible firewall bypass attack,0.9594
2026-07-07T15:10:57.923Z,192.168.177.223,162.208.153.22,54715,3389,TCP,rdp,allowed,Blocked by ML: possible firewall bypass attack,0.9841
2026-07-07T15:10:59.490Z,172.20.82.90,134.35.87.2,53246,161,UDP,snmp,allowed,Blocked by ML: possible firewall bypass attack,0.9839
2026-07-07T15:11:01.083Z,192.168.1.61,182.180.121.235,61955,445,TCP,smb,allowed,Blocked by ML: possible firewall bypass attack,0.9706
2026-07-07T15:11:03.733Z,10.8.65.220,142.122.118.66,55640,3389,TCP,rdp,allowed,Blocked by ML: possible firewall bypass attack,0.9841
2026-07-07T15:11:03.848Z,10.207.233.199,81.212.162.26,58954,444,TCP,smb,allowed,Blocked by ML: possible firewall bypass attack,0.9344
2026-07-07T15:11:04.110Z,192.168.92.206,14.191.207.43,65185,3388,TCP,rdp,allowed,Blocked by ML: possible firewall bypass attack,0.9841
2026-07-07T15:11:05.552Z,10.117.212.210,214.67.111.9,56870,3306,TCP,mysql,allowed,Blocked by ML: possible firewall bypass attack,0.9807
2026-07-07T15:11:06.388Z,10.19.143.78,25.151.246.118,52047,445,TCP,smb,allowed,Blocked by ML: possible firewall bypass attack,0.9709
2026-07-07T15:11:08.032Z,172.17.193.140,18.28.234.32,64401,445,TCP,smb,allowed,Blocked by ML: possible firewall bypass attack,0.9671
2026-07-07T15:11:08.130Z,172.26.236.145,178.129.206.255,58679,3306,TCP,mysql,allowed,Blocked by ML: possible firewall bypass attack,0.9807
2026-07-07T15:11:08.444Z,172.16.181.130,105.113.101.248,49581,635,TCP,ldaps,allowed,Blocked by ML: possible firewall bypass attack,0.9738
2026-07-07T15:11:10.414Z,10.39.6.146,69.35.140.60,62911,3388,TCP,rdp,allowed,Blocked by ML: possible firewall bypass attack,0.9841
2026-07-07T15:11:11.210Z,10.175.144.161,153.77.128.81,57276,3306,TCP,mysql,allowed,Blocked by ML: possible firewall bypass attack,0.9807
2026-07-07T15:11:11.984Z,192.168.138.165,207.202.201.49,60314,3388,TCP,rdp,allowed,Blocked by ML: possible firewall bypass attack,0.9741
2026-07-07T15:11:14.967Z,192.168.241.58,26.150.31.95,55045,636,TCP,ldaps,allowed,Blocked by ML: possible firewall bypass attack,0.9864
2026-07-07T15:11:16.215Z,10.139.222.29,63.143.239.124,55111,3389,TCP,rdp,allowed,Blocked by ML: possible firewall bypass attack,0.9841
2026-07-07T15:11:19.312Z,10.63.242.227,92.44.129.94,63423,161,UDP,snmp,allowed,Blocked by ML: possible firewall bypass attack,0.9827
2026-07-07T15:11:19.993Z,10.138.50.137,206.217.6.152,49419,3388,TCP,rdp,allowed,Blocked by ML: possible firewall bypass attack,0.9699
2026-07-07T15:11:20.106Z,10.21.198.131,115.46.173.118,62606,390,TCP,ldap,allowed,Blocked by ML: possible firewall bypass attack,0.9568
2026-07-07T15:11:21.909Z,10.113.19.235,193.118.21.193,59008,5431,TCP,postgresql,allowed,Blocked by ML: possible firewall bypass attack,0.9839
2026-07-07T15:11:22.150Z,172.23.216.32,139.143.223.0,53960,635,TCP,ldaps,allowed,Blocked by ML: possible firewall bypass attack,0.9814
2026-07-07T15:11:23.420Z,172.17.15.117,11.204.39.93,49904,88,UDP,kerberos,allowed,Blocked by ML: possible firewall bypass attack,0.9847
2026-07-07T15:11:23.830Z,192.168.177.126,188.113.74.12,64050,445,TCP,smb,allowed,Blocked by ML: possible firewall bypass attack,0.9614
2026-07-07T15:11:26.116Z,10.22.191.32,20.172.157.49,65488,3389,TCP,rdp,allowed,Blocked by ML: possible firewall bypass attack,0.9459
2026-07-07T15:11:26.679Z,10.239.182.84,234.156.85.86,50841,3390,TCP,rdp,allowed,Blocked by ML: possible firewall bypass attack,0.9781
2026-07-07T15:11:26.781Z,10.79.215.146,61.193.199.122,64394,3388,TCP,rdp,allowed,Blocked by ML: possible firewall bypass attack,0.9841
2026-07-07T15:11:29.850Z,172.26.160.101,207.45.175.226,52991,5432,TCP,postgresql,allowed,Blocked by ML: possible firewall bypass attack,0.9909
2026-07-07T15:11:30.653Z,172.30.45.142,142.173.194.184,52818,3307,TCP,mysql,allowed,Blocked by ML: possible firewall bypass attack,0.9838
2026-07-07T15:11:31.025Z,10.75.117.39,205.237.221.138,57343,88,UDP,kerberos,allowed,Blocked by ML: possible firewall bypass attack,0.9850
2026-07-07T15:11:31.182Z,192.168.97.173,97.122.18.85,60710,445,TCP,smb,allowed,Blocked by ML: possible firewall bypass attack,0.9706
2026-07-07T15:11:31.329Z,192.168.181.147,124.66.41.234,51929,636,TCP,ldaps,allowed,Blocked by ML: possible firewall bypass attack,0.9866
2026-07-07T15:11:31.501Z,192.168.89.145,105.209.82.103,53513,636,TCP,ldaps,allowed,Blocked by ML: possible firewall bypass attack,0.9811
2026-07-07T15:11:35.298Z,10.222.39.201,202.202.232.72,59053,389,TCP,ldap,allowed,Blocked by ML: possible firewall bypass attack,0.9557
2026-07-07T15:11:35.835Z,10.66.70.152,98.211.232.232,65499,160,UDP,snmp,allowed,Blocked by ML: possible firewall bypass attack,0.9303
2026-07-07T15:11:36.149Z,10.149.216.237,118.31.22.150,63641,444,TCP,smb,allowed,Blocked by ML: possible firewall bypass attack,0.9430
2026-07-07T15:11:38.036Z,192.168.160.171,148.232.105.74,49335,3389,TCP,rdp,allowed,Blocked by ML: possible firewall bypass attack,0.9827
2026-07-07T15:11:38.239Z,10.126.33.105,129.63.244.213,60707,5432,TCP,postgresql,allowed,Blocked by ML: possible firewall bypass attack,0.9909
2026-07-07T15:11:38.553Z,172.22.191.233,26.1.250.174,59340,3305,TCP,mysql,allowed,Blocked by ML: possible firewall bypass attack,0.9772
2026-07-07T15:11:39.145Z,172.29.71.175,202.101.160.56,52362,389,TCP,ldap,allowed,Blocked by ML: possible firewall bypass attack,0.9456
2026-07-07T15:11:39.726Z,172.26.87.164,16.212.103.86,63454,446,TCP,smb,allowed,Blocked by ML: possible firewall bypass attack,0.9509
2026-07-07T15:11:40.556Z,10.78.79.203,30.137.132.128,62923,3306,TCP,mysql,allowed,Blocked by ML: possible firewall bypass attack,0.9794
2026-07-07T15:11:41.791Z,10.23.138.179,177.103.84.179,62242,89,UDP,kerberos,allowed,Blocked by ML: possible firewall bypass attack,0.9820
2026-07-07T15:11:42.098Z,10.212.43.217,55.157.15.255,52732,636,TCP,ldaps,allowed,Blocked by ML: possible firewall bypass attack,0.9861
2026-07-07T15:11:44.250Z,192.168.248.48,165.30.68.125,64640,3389,TCP,rdp,allowed,Blocked by ML: possible firewall bypass attack,0.9841
2026-07-07T15:11:46.592Z,10.223.18.97,35.244.114.161,59809,5433,TCP,postgresql,allowed,Blocked by ML: possible firewall bypass attack,0.9950
2026-07-07T15:11:47.956Z,172.28.184.59,148.170.4.208,61945,3307,TCP,mysql,allowed,Blocked by ML: possible firewall bypass attack,0.9838
2026-07-07T15:11:48.351Z,192.168.83.217,107.35.202.235,49605,636,TCP,ldaps,allowed,Blocked by ML: possible firewall bypass attack,0.9850
2026-07-07T15:11:49.270Z,192.168.63.20,4.155.206.121,64631,5432,TCP,postgresql,allowed,Blocked by ML: possible firewall bypass attack,0.9770
